,accommodates,availability_30,host_total_listings_count,bathrooms,bedrooms,beds,extra_people,guests_included,hos1_iden1i1y_veri0ied,ins1an1_bookable,is_loca1ion_exac1,number_of_reviews,price,host_is_superhost
7655,2,29,219,1,1,1,0,1,0,0,1,0,266,0
7656,2,29,13,1,1,2,0,1,0,0,1,22,399,0
7657,2,30,2,1,1,1,0,1,0,1,1,0,297,0
7658,2,30,13,1,1,2,0,1,0,0,1,17,399,0
7659,4,30,17,1,1,1,300,2,1,1,0,20,1799,0
7660,2,0,2,1,1,1,0,1,1,0,1,4,978,0
7661,1,30,2,1,1,1,0,1,0,1,1,4,2003,0
7662,3,8,9,1,1,2,100,2,1,0,0,58,602,0
7663,4,29,1,1,2,2,0,1,0,0,1,0,438,0
7664,3,0,1,2,2,2,0,1,0,1,1,2,900,0
7665,2,28,2,1,0,1,0,1,0,1,1,9,884,1
7666,1,29,219,1,1,1,0,1,0,0,1,0,235,0
7667,2,28,2,1,0,1,0,1,0,1,0,14,681,1
7668,1,0,18,2,1,1,0,1,1,0,1,1,219,0
7669,6,3,7,1,2,3,200,5,0,1,1,4,978,0
7670,4,0,1,1,1,1,150,4,0,1,1,12,798,0
7671,3,22,3,1,1,2,130,1,0,1,1,19,540,0
7672,2,0,4,1,1,1,0,1,0,0,1,2,1400,0
7673,6,16,23,1,2,4,150,5,0,0,1,21,1103,0
7674,2,30,155,1,1,1,0,1,0,1,1,3,297,0
7675,2,30,155,1,1,1,0,1,0,1,1,2,297,0
7676,2,29,161,1,0,1,0,1,0,0,1,0,563,0
7677,2,30,155,1,1,1,0,1,0,1,1,2,297,0
7678,2,30,155,1,1,2,0,1,0,1,1,1,297,0
7679,2,30,155,1,1,2,0,1,0,1,1,3,297,0
7680,2,30,155,1,1,2,0,1,0,1,1,4,297,0
7681,2,30,155,1,1,2,0,1,0,1,1,5,297,0
7682,2,29,165,1,0,1,0,1,0,0,1,0,532,0
7683,2,30,155,1,1,2,0,1,0,1,1,2,360,0
7684,3,30,155,1,1,2,0,1,0,1,1,0,376,0
7685,3,30,155,1,1,2,0,1,0,1,1,1,376,0
7686,3,30,155,1,1,2,0,1,0,1,1,0,376,0
7687,2,25,6,1,1,1,0,1,0,1,1,46,383,1
7688,2,29,165,1,0,1,0,1,0,0,0,0,821,0
7689,6,13,9,1,4,4,80,6,0,1,1,4,1197,0
7690,4,30,1,1.5,2,4,0,1,0,0,1,11,876,1
7691,1,0,1,1,1,1,100,1,0,0,1,10,383,0
7692,2,0,37,1,1,1,0,1,0,0,1,0,399,1
7693,6,29,6,1,1,2,0,1,0,1,1,2,602,0
7694,3,18,2,2,3,3,100,6,1,0,1,0,1502,0
7695,1,0,18,1,1,1,0,1,0,0,0,12,399,0
7696,4,6,14,1,1,3,100,2,0,1,1,23,477,0
7697,3,29,6,1,1,2,0,1,0,1,1,2,399,0
7698,5,0,1,1,1,5,0,1,1,0,0,1,892,0
7699,4,22,19,1,1,2,0,1,0,1,1,24,579,0
7700,2,0,1,1,1,1,0,1,1,1,0,3,821,0
7701,1,12,2,1,0,1,0,1,1,1,0,0,602,0
7702,8,5,8,1,2,4,150,6,0,0,1,9,1103,1
7703,4,29,6,1,1,2,0,1,0,1,1,3,399,0
7704,3,18,1,1,1,2,0,1,0,0,0,8,587,0
7705,1,30,6,1,1,1,0,1,0,1,1,0,266,0
7706,6,0,1,1,2,4,0,1,1,0,0,0,1799,0
7707,8,29,6,2,2,2,0,1,0,1,1,4,798,0
7708,5,26,9,1,2,2,114,4,0,0,0,15,1252,0
7709,1,0,1,1,1,1,2346,1,0,0,0,0,399,0
7710,6,12,3,1,2,3,200,4,1,0,0,31,1087,1
7711,2,13,14,1,1,2,40,1,0,1,1,26,336,0
7712,2,27,5,1,1,2,114,2,0,1,0,37,493,0
7713,6,7,1,1,2,2,150,4,0,0,1,12,1001,1
7714,2,20,9,1,1,1,0,1,1,1,0,40,602,0
7715,2,20,0,1.5,0,0,200,2,0,1,1,1,649,0
7716,2,0,9,1,1,1,100,2,1,0,0,2,751,0
7717,1,30,2,1,1,1,100,1,0,1,0,3,892,0
7718,10,28,23,1,2,4,150,4,0,1,1,26,3998,0
7719,2,0,1,1,0,1,0,1,1,0,1,1,649,0
7720,6,16,28,1,2,3,100,4,0,1,1,38,900,0
7721,2,15,0,1,0,1,0,1,0,0,1,5,602,0
7722,5,19,7,1,0,3,50,2,0,1,0,23,602,0
7723,3,8,8,1,0,2,50,2,0,1,0,30,516,0
7724,2,30,25,1,1,1,0,1,0,0,1,5,501,0
7725,2,30,25,1,1,2,0,1,0,0,1,8,602,0
7726,2,30,25,1,1,1,0,1,0,0,1,8,548,0
7727,2,29,92,1,1,1,0,1,0,1,0,38,368,0
